smiles	kegg_id	formal_charge
OCCc1c[n-]c2ccccc12	['C00955']	-1
NCCP(=O)([O-])O	['C03557']	-1
CCCC(CC(=O)[O-])C(=O)[O-]	['C16657']	-2
CP(=O)(O)CC[C@H](N)C(=O)[O-]	['C04650']	-1
NCCOP(=O)([O-])[O-]	['C00346']	-2
[NH-]C(N)=O	['C00086']	-1
C=C(C)CCOP(=O)(O)OP(=O)([O-])[O-]	['C00129']	-2
O=C(O)COP(=O)([O-])O	['C00988', 'C00988']	-1
C[C@H](CN)OP(=O)([O-])[O-]	['C04122']	-2
[NH-]C(=O)NCCC(=O)[O-]	['C02642']	-2
CC(C)C[C@H](N)C(=O)[O-]	['C00123']	-1
O=C([O-])C(=O)Cc1cnc[n-]1	['C03277']	-2
CC(=O)[N-]CC[C@H](N)C(=O)O	['C06442']	-1
O=C([O-])C(=O)Cc1c[nH+]c[n-]1	['C03277']	-1
CC(C)(C(=O)[O-])[C@@H](O)C(=O)[O-]	['C01088', 'C01088', 'C01088']	-2
O=C([O-])Cc1c[n-]c[nH+]1	['C02835']	-1
O=P([O-])(O)Oc1ccccc1	['C02734']	-1
C[C@@H](N)C(=O)[N-][C@H](C)C(=O)O	['C00993']	-1
N[C@@H]1CC(C(=O)[O-])=CC(=O)[C@H]1O	['C12108', 'C12108']	-1
NC(=O)[N-]C(=O)[O-]	['C01010', 'C01010']	-2
O=C([O-])[C@H]1NCC[C@@H]1O	['C05147', 'C05147']	-1
O=c1cc[n-]c(=O)[n-]1	['C00106']	-2
CC(=O)NCC[C@H](N)C(=O)[O-]	['C06442']	-1
CC(C)c1ccc(C(=O)[O-])cc1	['C06578']	-1
CC(=O)[N-]CCCCC(=O)C(=O)[O-]	['C05548']	-2
O=C([O-])Cc1c[nH]cn1	['C02835', 'C02835']	-1
