kegg_id	smiles	formal_charge
C00019	C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)[nH+]cnc32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c([NH3+])[nH+]cnc32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2c[nH+]c3c([NH3+])ncnc32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)[nH+]c[nH+]c32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c([NH3+])ncnc32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c([NH3+])nc[nH+]c32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)nc[nH+]c32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	1
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2c[nH+]c3c(N)nc[nH+]c32)[C@H](O)[C@@H]1O	2
C00020	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]1O	-1
C00020	[NH3+]c1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	1
C00020	[NH3+]c1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-1
C00020	[NH3+]c1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	2
C00020	Nc1[nH+]c[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	2
C00020	[NH3+]c1nc[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	2
C00020	Nc1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	1
C00020	[NH3+]c1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]1O	1
C00020	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-2
C00020	[NH3+]c1nc[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]1O	1
C00020	[NH3+]c1[nH+]c[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	1
C00020	Nc1nc[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	1
C00020	[NH3+]c1[nH+]c[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]1O	2
C00020	Nc1[nH+]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-1
C00020	Nc1nc[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	-1
C00020	Nc1[nH+]c[nH+]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]1O	1
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c([NH3+])[nH+]cnc32)[C@H](O)[C@@H]1O)C(=O)[O-]	1
C00021	Nc1nc[nH+]c2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	1
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2c[nH+]c3c([NH3+])ncnc32)[C@H](O)[C@@H]1O)C(=O)[O-]	1
C00021	Nc1[nH+]cnc2c1[nH+]cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)[O-])[C@@H](O)[C@H]1O	1
C00021	Nc1[nH+]c[nH+]c2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)[O-])[C@@H](O)[C@H]1O	1
C00021	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)[O-])[C@@H](O)[C@H]1O	-1
C00021	Nc1ncnc2c1[nH+]cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	1
C00021	Nc1[nH+]cnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	1
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c([NH3+])[nH+]cnc32)[C@H](O)[C@@H]1O)C(=O)O	2
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c([NH3+])ncnc32)[C@H](O)[C@@H]1O)C(=O)O	1
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2c[nH+]c3c([NH3+])nc[nH+]c32)[C@H](O)[C@@H]1O)C(=O)[O-]	2
C00021	Nc1nc[nH+]c2c1[nH+]cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	2
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c([NH3+])nc[nH+]c32)[C@H](O)[C@@H]1O)C(=O)O	2
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2c[nH+]c3c([NH3+])ncnc32)[C@H](O)[C@@H]1O)C(=O)O	2
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c([NH3+])nc[nH+]c32)[C@H](O)[C@@H]1O)C(=O)[O-]	1
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2c[nH+]c3c([NH3+])[nH+]cnc32)[C@H](O)[C@@H]1O)C(=O)[O-]	2
C00021	Nc1[nH+]c[nH+]c2c1[nH+]cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)[O-])[C@@H](O)[C@H]1O	2
C00021	Nc1nc[nH+]c2c1[nH+]cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)[O-])[C@@H](O)[C@H]1O	1
C00021	N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c([NH3+])[nH+]c[nH+]c32)[C@H](O)[C@@H]1O)C(=O)[O-]	2
C00021	Nc1[nH+]c[nH+]c2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	2
C00021	Nc1[nH+]cnc2c1[nH+]cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	2
C00022	CC(=O)C(=O)[O-]	-1
C00024	CC(=O)SCC[N-]C(=O)CC[N-]C(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	-2
C00024	CC(=O)SCCNC(=O)CC[N-]C(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	-1
C00024	CC(=O)SCCNC(=O)CC[N-]C(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	-2
C00024	CC(=O)SCCNC(=O)CC[N-]C(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])O	-2
C00024	CC(=O)SCCNC(=O)CC[N-]C(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	-2
C00025	N[C@@H](CCC(=O)[O-])C(=O)O	-1
C00025	N[C@@H](CCC(=O)[O-])C(=O)[O-]	-2
C00025	[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]	-1
C00025	[NH3+][C@@H](CCC(=O)O)C(=O)O	1
