entry	smiles
C00320	O=S(=O)(O)[S-]
C00322	O=C(O)CCCC(=O)C(=O)O
C00323	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)c(O)c1
C00325	C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
C00327	NC(=O)NCCC[C@H](N)C(=O)O
C00328	Nc1ccccc1C(=O)C[C@H](N)C(=O)O
C00329	N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00330	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
C00331	O=C(O)C(=O)Cc1c[nH]c2ccccc12
C00332	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00333	O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00334	NCCCC(=O)O
C00337	O=C1C[C@@H](C(=O)O)NC(=O)N1
C00341	CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C00345	O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
C00346	NCCOP(=O)(O)O
C00349	CC(C=O)C(=O)O
C00352	N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
C00353	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C00354	O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
C00355	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
C00356	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)O
