smiles_cation	kegg_id_cation	formal_charge_cation	smiles_anion	kegg_id_anion	formal_charge_anion	smiles_il	distance	commercial_il
Cn1cnc(CC[NH3+])c1	['C05127']	1	O=CCCCCCCCC(=O)[O-]	['C16322']	-1	Cn1cnc(CC[NH3+])c1.O=CCCCCCCCC(=O)[O-]	13.052910068006495	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC[C@@](C)(O)[C@@H]([O-])C(=O)[O-]	['C06007', 'C06007']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC[C@@](C)(O)[C@@H]([O-])C(=O)[O-]	13.173011304385692	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
CC[N+](CC)(CC)CC	['C07512']	1	CCCCCCCCCC(=O)[O-]	['C01571']	-1	CC[N+](CC)(CC)CC.CCCCCCCCCC(=O)[O-]	13.190567860063279	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
CC[N+](CC)(CC)CC	['C07512']	1	O=CCCCCCCCC(=O)[O-]	['C16322']	-1	CC[N+](CC)(CC)CC.O=CCCCCCCCC(=O)[O-]	13.202220811568004	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C)([O-])C(=O)C(=O)[O-]	['C04181']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC(C)([O-])C(=O)C(=O)[O-]	13.214874461745026	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=CCCCCC(=O)[O-]	['C06102']	-1	C[N+]1=CCCC1.O=CCCCCC(=O)[O-]	13.263475650188115	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])[C@@H]1CCCCN1	['C00408']	-1	C[N+]1=CCCC1.O=C([O-])[C@@H]1CCCCN1	13.284460258056749	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[NH2+]C	['C00543']	1	O=CCCCCCCCC(=O)[O-]	['C16322']	-1	C[NH2+]C.O=CCCCCCCCC(=O)[O-]	13.294885678630585	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C)(C[O-])C(=O)C(=O)[O-]	['C00966']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC(C)(C[O-])C(=O)C(=O)[O-]	13.379461806439412	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C)C(=O)C(=O)[O-]	['C00141']	-1	C[N+]1=CCCC1.CC(C)C(=O)C(=O)[O-]	13.395339520666827	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C)CC(=O)[O-]	['C08262']	-1	C[N+]1=CCCC1.CC(C)CC(=O)[O-]	13.435651920242673	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C=C(CC(=O)[O-])C(C)C	['C11950']	-1	C[N+]1=CCCC1.C=C(CC(=O)[O-])C(C)C	13.442845832210207	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CSCCCCCC(=O)C(=O)[O-]	['C17220']	-1	C[N+]1=CCCC1.CSCCCCCC(=O)C(=O)[O-]	13.458620262650015	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(=O)CC([O-])CC(=O)[O-]	['C16272']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC(=O)CC([O-])CC(=O)[O-]	13.512549085195095	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
