smiles	kegg_id
CC(C)=CCc1cc(O)c(C)c(C)c1[O-]	['C16693']
CC(C)=CCc1cc([O-])c(C)c(C)c1O	['C16693']
CC(C)=CCc1cc([O-])c(C)c(C)c1[O-]	['C16693']
CC(C)=CCc1cc2ccc(=O)oc2cc1[O-]	['C18083']
CC(C)C(=CC(=O)O)C(=O)[O-]	['C02631']
CC(C)C(=CC(=O)[O-])C(=O)O	['C02631']
CC(C)C(=CC(=O)[O-])C(=O)[O-]	['C02631']
CC(C)C(=O)C(=O)[O-]	['C00141']
CC(C)C(=O)C=CC=C(O)C(=O)[O-]	['C06582']
CC(C)C(=O)C=CC=C([O-])C(=O)O	['C06582']
CC(C)C(=O)C=CC=C([O-])C(=O)[O-]	['C06582']
CC(C)C(=O)[N-]c1ccc([N+](=O)[O-])c(C(F)(F)F)c1	['C07653']
CC(C)C(=O)[O-]	['C02632']
CC(C)C(=O)c1ccc(O)c([O-])c1	['C15475']
CC(C)C(=O)c1ccc([O-])c(O)c1	['C15475']
CC(C)C(=O)c1ccc([O-])c([O-])c1	['C15475']
CC(C)C(C(=O)O)C(=O)C(=O)[O-]	['C04236']
CC(C)C(C(=O)[O-])C(=O)C(=O)O	['C04236']
CC(C)C(C(=O)[O-])C(=O)C(=O)[O-]	['C04236']
CC(C)C(N)C(=O)[O-]	['C00183']
CC(C)C12CCC(C)([O-])C1C2	['C02462']
CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C[O-])C1CC2	['C18219']
CC(C)C1=CC2=CCC3C(C)(C[O-])CCCC3(C)C2CC1	['C11882']
CC(C)C1=CCC2C(=C1)CCC1C(C)(C[O-])CCCC21C	['C11883']
CC(C)C1CCC2(C)CC3C(C)CCC3C(C)([O-])CC=C12	['C20834']
CC(C)C=CCCCCC(=O)[O-]	['C18202']
CC(C)CC(=O)C(=O)[O-]	['C00233']
CC(C)CC(=O)NCCc1c[n-]cn1	['C16696']
CC(C)CC(=O)[N-]CCc1c[n-]c[nH+]1	['C16696']
CC(C)CC(=O)[N-]CCc1c[n-]cn1	['C16696']
CC(C)CC(=O)[N-]CCc1c[nH]cn1	['C16696']
CC(C)CC(=O)[O-]	['C08262']
CC(C)CC(N)C(=O)[O-]	['C00123']
CC(C)CCCCCCCC=CC(=O)[O-]	['C18206']
CC(C)NCC([O-])c1ccc(Cl)c(Cl)c1	['C11772']
CC(C)[O-]	['C01845']
CC(C)c1cc2c(cc1[O-])C1(C)CCCC(C)(C)C1CC2	['C09092']
CC(C)c1ccc(C(=O)[O-])cc1	['C06578']
CC(C)c1ccc(C[O-])cc1	['C06576']
CC(C=CC(=O)C(=O)O)C(=O)[O-]	['C07479']
CC(C=CC(=O)C(=O)[O-])C(=O)O	['C07479']
CC(C=CC(=O)C(=O)[O-])C(=O)[O-]	['C07479']
CC(C=CC(=O)O)=CC(=O)[O-]	['C04112']
CC(C=CC(=O)[O-])=CC(=O)O	['C04112']
CC(C=CC(=O)[O-])=CC(=O)[O-]	['C04112']
CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)[O-]	['C06082', 'C06082']
CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC[O-]	['C13456']
CC(C=CC1(O)C2(C)COC1(C)CC(=O)C2)=CC(=O)[O-]	['C09707', 'C09707']
CC(C=CC1([O-])C(C)=CC(=O)CC1(C)C)=CC(=O)[O-]	['C06082']
CC(C=CC1([O-])C(C)=CC(=O)CC1(C)C)=CC=O	['C13455']
CC(C=CC1([O-])C(C)=CC(=O)CC1(C)C)=CCO	['C13456']
CC(C=CC1([O-])C(C)=CC(=O)CC1(C)C)=CC[O-]	['C13456']
CC(C=CC1([O-])C2(C)COC1(C)CC(=O)C2)=CC(=O)[O-]	['C09707']
CC(C=CC12OC1(C)CC(O)CC2(C)C)=CC(=O)[O-]	['C13454', 'C13454']
CC(C=CC12OC1(C)CC([O-])CC2(C)C)=CC(=O)[O-]	['C13454']
CC(C=CC12OC1(C)CC([O-])CC2(C)C)=CC=O	['C13453']
CC(C=CC1=C(C)C=CCC1(C)C)=CC=CC(C)=CC[O-]	['C21797']
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC[O-]	['C00473', 'C00899', 'C16682']
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)CC[O-]	['C15492']
CC(C=O)=CC=C(O)C(=O)[O-]	['C06760']
CC(C=O)=CC=C([O-])C(=O)O	['C06760']
CC(C=O)=CC=C([O-])C(=O)[O-]	['C06760']
CC(C=O)=CCCC(C)C=C[O-]	['C22225']
CC(C=O)C(=O)[O-]	['C00349', 'C06002']
CC(CC(=O)O)C(=O)CC(=O)[O-]	['C18312']
CC(CC(=O)[O-])C(=O)CC(=O)O	['C18312']
CC(CC(=O)[O-])C(=O)CC(=O)[O-]	['C18312']
CC(CN)C(=O)[O-]	['C01205', 'C03284']
CC(CO)C(=O)[O-]	['C06001', 'C06001']
CC(C[O-])C(=O)[O-]	['C06001']
CC(N)C(=O)CCCCCC(=O)[O-]	['C01092']
CC(N)C(=O)OC(C)C(=O)[O-]	['C19694']
CC(N)C(=O)[O-]	['C00041', 'C00133', 'C01401']
CC(N)C([O-])c1ccccc1	['C08300', 'C16719']
CC(N)CC(=O)CC(=O)[O-]	['C03656']
CC(O)C(=O)CC(=O)C(=O)[O-]	['C20781', 'C20781']
CC(O)C(=O)[O-]	['C00186', 'C00186', 'C00256', 'C00256']
CC(O)C=CCC=CCC=CCCCCCCCC(=O)[O-]	['C16346', 'C16346']
CC(O)CC(=O)C(=O)[O-]	['C03589', 'C03589']
CC(O)CC(=O)OC(C)CC(=O)[O-]	['C04546', 'C04546']
CC(O)CC(=O)[N-]C1CCOC1=O	['C11842', 'C21195']
